X,Y,PoliceUseOfForceID,CaseNumber,ResponseDate,Problem,Is911Call,PrimaryOffense,SubjectInjury,ForceReportNumber,SubjectRole,SubjectRoleNumber,ForceType,ForceTypeAction,Race,Sex,EventAge,TypeOfResistance,Precinct,Neighborhood
-93.28642491,45.01246249,20834397,20-285678,2020/11/09 13:25:52+00,Traffic Law Enforcement ,No,ROBPAG  ,No,5,ARRESTEE                                               ,1,Bodily Force,Push Away,Black,Male,21,Fled in a Vehicle                                                              ,4,Hawthorne
-93.26255294,44.9657414,20822636,20-285281,2020/11/08 22:44:46+00,Fight ,No,FORCE   ,No,2,INVOLVED                                               ,1,Bodily Force,Takedown,Black,Male,38,Other                                                                          ,3,Elliot Park
-93.26255294,44.9657414,20830954,20-285281,2020/11/08 22:44:46+00,Fight ,No,FORCE   ,No,2,INVOLVED                                               ,1,Bodily Force,Joint Lock,Black,Male,38,Other                                                                          ,3,Elliot Park
-93.26255294,44.9657414,20831005,20-285281,2020/11/08 22:44:46+00,Fight ,No,FORCE   ,No,2,INVOLVED                                               ,1,Bodily Force,Body Weight Pin,Black,Male,38,Other                                                                          ,3,Elliot Park
-93.29144036,45.04118167,20823619,20-285233,2020/11/08 21:20:04+00,Burglary Dwlng In Progress ,Yes,BURGD   ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,27,Fled on Foot                                                                   ,4,Lind - Bohanon
-93.29144036,45.04118167,20823725,20-285233,2020/11/08 21:20:04+00,Burglary Dwlng In Progress ,Yes,BURGD   ,No,4,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,27,Fled on Foot                                                                   ,4,Lind - Bohanon
-93.29144036,45.04118167,20834047,20-285233,2020/11/08 21:20:04+00,Burglary Dwlng In Progress ,Yes,BURGD   ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,27,Fled on Foot                                                                   ,4,Lind - Bohanon
-93.29144036,45.04118167,20834449,20-285233,2020/11/08 21:20:04+00,Burglary Dwlng In Progress ,Yes,BURGD   ,No,2,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,27,Fled on Foot                                                                   ,4,Lind - Bohanon
-93.31539394,44.96818104,20823724,20-285121,2020/11/08 18:14:22+00,Unknown Wireless/Cell Phone,Yes,DASLT2  ,No,3,ARRESTEE                                               ,1,Taser,Display,White,Female,35,Other                                                                          ,4,Bryn - Mawr
-93.31060025,45.00410869,20823125,20-285010,2020/11/08 15:30:18+00,Domestic Abuse-In Progress ,No,DASTR   ,No,4,ARRESTEE                                               ,2,Taser,Display,Black,Male,19,Verbal Non-Compliance                                                          ,4,Willard - Hay
-93.31060025,45.00410869,20823609,20-285010,2020/11/08 15:30:18+00,Domestic Abuse-In Progress ,No,DASTR   ,No,3,ARRESTEE                                               ,2,Bodily Force,Joint Lock,Black,Male,19,Tensed                                                                         ,4,Willard - Hay
-93.26163542,44.89341257,20829739,20-284860,2020/11/08 11:05:22+00,Burglary Dwlng In Progress ,Yes,BURGD   ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,White,Female,29,Other                                                                          ,3,Diamond Lake
-93.30007128,44.99149757,20829497,20-284548,2020/11/08 00:36:40+00,Domestic Abuse-In Progress ,Yes,DISCON  ,No,1,VICT/ARRESTEE                                          ,1,Chemical Irritant,Personal Mace,Black,Male,28,Verbal Non-Compliance                                                          ,4,Near - North
-93.25370902,44.94045442,20823503,20-283531,2020/11/06 22:06:20+00,Domestic Abuse-In Progress ,Yes,DASLT5  ,No,1,ARRESTEE                                               ,1,Bodily Force,Joint Lock,Black,Female,30,Commission of a Crime                                                          ,3,Powderhorn Park
-93.22864943,45.00355252,20829784,20-283476,2020/11/06 21:09:20+00,Damage Property-In Progress,Yes,CIC     ,No,2,PERSON IN CRISIS                                       ,1,Taser,Display,White,Male,45,Other                                                                          ,2,Northeast Park
-93.26565404,44.93055011,20822192,20-283393,2020/11/06 19:28:15+00,Robbery of Person ,Yes,CARJCK  ,No,5,ARRESTEE                                               ,4,Bodily Force,Knee,Black,Male,17,Fled in a Vehicle                                                              ,3,Bryant
-93.26565404,44.93055011,20823274,20-283393,2020/11/06 19:28:15+00,Robbery of Person ,Yes,CARJCK  ,Yes,2,ARRESTEE                                               ,2,Police K9 Bite,Off Lead,Black,Female,17,Fled in a Vehicle                                                              ,3,Bryant
-93.26565404,44.93055011,20826344,20-283393,2020/11/06 19:28:15+00,Robbery of Person ,Yes,CARJCK  ,No,1,ARRESTEE                                               ,4,Police K9 Bite,Off Lead,Black,Male,17,Fled in a Vehicle                                                              ,3,Bryant
-93.26565404,44.93055011,20827074,20-283393,2020/11/06 19:28:15+00,Robbery of Person ,Yes,CARJCK  ,No,5,ARRESTEE                                               ,4,Bodily Force,Body Weight Pin,Black,Male,17,Fled in a Vehicle                                                              ,3,Bryant
-93.26565404,44.93055011,20834343,20-283393,2020/11/06 19:28:15+00,Robbery of Person ,Yes,CARJCK  ,No,1,ARRESTEE                                               ,4,Bodily Force,Kicks,Black,Male,17,Fled in a Vehicle                                                              ,3,Bryant
-93.26565404,44.93055011,20835401,20-283393,2020/11/06 19:28:15+00,Robbery of Person ,Yes,CARJCK  ,No,1,ARRESTEE                                               ,4,Bodily Force,Body Weight Pin,Black,Male,17,Fled in a Vehicle                                                              ,3,Bryant
-93.30508348,45.01682712,20822635,20-283132,2020/11/06 14:20:03+00,Domestic Abuse-In Progress ,Yes,ASLT4   ,No,1,ARRESTEE                                               ,1,Bodily Force,Joint Lock,Black,Female,15,Assaulted Officer                                                              ,4,Folwell
-93.30508348,45.01682712,20822741,20-283132,2020/11/06 14:20:03+00,Domestic Abuse-In Progress ,Yes,ASLT4   ,No,2,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Female,15,Assaulted Officer                                                              ,4,Folwell
-93.30508348,45.01682712,20823618,20-283132,2020/11/06 14:20:03+00,Domestic Abuse-In Progress ,Yes,ASLT4   ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Female,15,Assaulted Officer                                                              ,4,Folwell
-93.30508348,45.01682712,20832316,20-283132,2020/11/06 14:20:03+00,Domestic Abuse-In Progress ,Yes,ASLT4   ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Female,15,Assaulted Officer                                                              ,4,Folwell
-93.30508348,45.01682712,20833953,20-283132,2020/11/06 14:20:03+00,Domestic Abuse-In Progress ,Yes,ASLT4   ,No,2,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Female,15,Assaulted Officer                                                              ,4,Folwell
-93.29573677,44.94880987,20835400,20-282907,2020/11/06 09:38:37+00,Theft ,Yes,BURGB   ,No,1,ARRESTEE                                               ,1,Improvised Weapon,Other Improvised Weapon,Black,Female,24,Commission of a Crime                                                          ,5,Lowry Hill East
-93.23327765,44.94702446,20823723,20-282746,2020/11/06 02:26:54+00,Audible Business Alarm ,No,DAMPRP  ,No,5,ARRESTEE                                               ,5,Bodily Force,Body Weight Pin,Black,Male,20,Commission of a Crime                                                          ,3,Longfellow
-93.23327765,44.94702446,20829844,20-282746,2020/11/06 02:26:54+00,Audible Business Alarm ,No,DAMPRP  ,No,4,ARRESTEE                                               ,4,Bodily Force,Body Weight Pin,White,Male,21,Commission of a Crime                                                          ,3,Longfellow
