reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,policePrecinct,neighborhood
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,NO,Unknown,Black,Male,Two,Audubon Park
Investigative,Suspicious Person (P),INF-Information,NO,YES,NO,Black,Black,Male,Three,Ventura Village
Investigative,Suspicious Person (P),AOK- All OK,NO,YES,NO,Unknown,Black,Male,Four,Hawthorne
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,White,White,Male,Two,Holland
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,Five,Lowry Hill East
Citizen / 9-1-1,Suspicious Person (P),AOK- All OK,NO,YES,NO,Unknown,Black,Male,One,Downtown West
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,White,White,Female,Two,Audubon Park
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,Five,Whittier
Investigative,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Black,Black,Male,Four,Victory
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,YES,Unknown,Unknown,Male,Two,Marshall Terrace
Investigative,Suspicious Vehicle (P),ADV-Advised,NO,YES,YES,Black,Black,Male,Four,Hawthorne
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Unknown,Black,Male,Two,Holland
Investigative,Suspicious Person (P),TRN-Transport,NO,YES,NO,White,White,Male,Five,Lowry Hill East
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Vehicle (P),ADV-Advised,NO,YES,NO,White,White,Male,One,North Loop
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,YES,NO,Other,Other,Female,Three,Longfellow
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Female,One,Downtown West
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,YES,NO,Unknown,Black,Female,Four,Hawthorne
Investigative,Suspicious Vehicle (P),AOK- All OK,NO,YES,YES,Unknown,Black,Male,Three,Phillips West
Investigative,Suspicious Person (P),AOK- All OK,NO,YES,NO,Black,Black,Male,Three,Midtown Phillips
