reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,policePrecinct,neighborhood
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,Two,Holland
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,One,Downtown West
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Two,Holland
Investigative,Suspicious Vehicle (P),TOW-Towed,NO,NO,YES,Unknown,Unknown,Unknown,Three,Corcoran
Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Latino,Male,Two,Marcy Holmes
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Three,Field
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,Four,Near/North
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Black,Unknown,Unknown,One,Downtown West
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Black,Unknown,Unknown,Three,Page
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,Four,Near/North
Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,White,Male,Five,Kenwood
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Female,Four,Folwell
Investigative,Suspicious Vehicle (P),RPT-Report,NO,YES,YES,Black,Black,Male,Three,Page
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,Three,Longfellow
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,White,Unknown,Male,Three,Northrop
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,Near/North
Citizen / 9-1-1,Suspicious Vehicle (P),UTL-Unable to Locate,NO,NO,NO,Unknown,Unknown,Male,Two,Waite Park
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Three,Corcoran
Citizen / 9-1-1,Suspicious Person (P),AOK- All OK,NO,NO,NO,Unknown,Unknown,Male,Two,Marshall Terrace
Citizen / 9-1-1,Suspicious Vehicle (P),RPT-Report,NO,NO,NO,Unknown,Unknown,Unknown,Three,Ventura Village
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,One,Cedar Riverside
Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Unknown,Black,Male,One,Downtown West
