reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,policePrecinct,neighborhood
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,Two,Audubon Park
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Latino,Male,Four,Willard/Hay
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Female,Four,Webber/Camden
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Four,Folwell
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,White,White,Male,Four,Hawthorne
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,Four,Lind - Bohanon
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,East African,Female,Two,Bottineau
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,St. Anthony East
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Marcy Holmes
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Marcy Holmes
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,One,Downtown West
Citizen / 9-1-1,Curfew Violations (P),TAG-Tagged,YES,YES,NO,Unknown,East African,Male,Three,Hale
Equipment Violation,Traffic Law Enforcement (P),BKG-Booking,YES,NO,NO,Unknown,Other,Male,Five,Lyndale
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Two,Como
Investigative,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,White,White,Female,Two,Marshall Terrace
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,YES,YES,NO,White,White,Male,Two,Beltrami
Investigative,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Four,Sumner/Glenwood
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Two,Nicollet Island/East Bank
Investigative,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,YES,Unknown,Black,Male,One,Downtown West
Moving Violation,Traffic Law Enforcement (P),RPT-Report,YES,NO,NO,Black,Black,Male,Five,Lyndale
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,Jordan
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,YES,Black,Black,Male,Four,Willard/Hay
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,YES,YES,YES,Unknown,Black,Male,Four,McKinley
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,Jordan
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Unknown,Black,Male,Four,Near/North
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,One,Downtown West
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,Four,Near/North
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,YES,NO,NO,Native American,Native American,Female,Two,Marcy Holmes
Investigative,Suspicious Vehicle (P),TAG-Tagged,YES,YES,YES,Asian,Asian,Male,Four,Willard/Hay
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,Four,Near/North
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Male,Four,Folwell
Moving Violation,Suspicious Vehicle (P),TAG-Tagged,YES,NO,NO,Unknown,Native American,Male,Five,Whittier
Investigative,Suspicious Vehicle (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Unknown,Four,Willard/Hay
Investigative,Suspicious Vehicle (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Unknown,Four,Willard/Hay
Investigative,Suspicious Vehicle (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Unknown,Four,Willard/Hay
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,Jordan
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,Four,Jordan
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,Four,Near/North
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,Jordan
Investigative,Suspicious Person (P),TAG-Tagged,YES,NO,NO,Native American,Native American,Female,One,Cedar Riverside
Investigative,Suspicious Person (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,Four,Near/North
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,Four,Near/North
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Latino,Male,Two,Columbia Park
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,White,White,Male,One,Downtown West
Investigative,Suspicious Person (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,One,Downtown West
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,Near/North
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Unknown,Black,Male,Four,Jordan
Moving Violation,Suspicious Vehicle (P),RPT-Report,YES,NO,NO,Black,Black,Female,Three,Phillips West
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Two,Holland
Investigative,Suspicious Vehicle (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Unknown,Five,Kenwood
Citizen / 9-1-1,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Unknown,White,Female,Two,Como
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Five,Tangletown
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Asian,Female,Two,Nicollet Island/East Bank
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Nicollet Island/East Bank
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Nicollet Island/East Bank
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,Two,Nicollet Island/East Bank
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Nicollet Island/East Bank
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,Two,Nicollet Island/East Bank
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,YES,YES,NO,Unknown,White,Male,Two,Marcy Holmes
