X,Y,PoliceUseOfForceID,CaseNumber,ResponseDate,Problem,Is911Call,PrimaryOffense,SubjectInjury,ForceReportNumber,SubjectRole,SubjectRoleNumber,ForceType,ForceTypeAction,Race,Sex,EventAge,TypeOfResistance,Precinct,Neighborhood
-93.27196341,44.98165497,20833625,20-008010,2020/01/09 23:31:49+00,Disturbance ,No,ASLT4   ,No,1,ARRESTEE                                               ,1,Taser,Firing Darts,Black,Male,18,Assaulted Officer                                                              ,1,Downtown West
-93.23784575,45.00418717,20825483,20-007655,2020/01/09 16:00:14+00,Domestic ,Yes,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Taser,Red Dot,White,Male,28,Verbal Non-Compliance                                                          ,2,Northeast Park
-93.27781232,44.96471066,20821556,20-007416,2020/01/09 11:29:26+00,Attempted Suicide ,No,CIC     ,Yes,1,PERSON IN CRISIS                                       ,1,Bodily Force,Takedown,White,Male,61,Other                                                                          ,5,Stevens Square - Loring Heights
-93.27781232,44.96471066,20822906,20-007416,2020/01/09 11:29:26+00,Attempted Suicide ,No,CIC     ,Yes,1,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,White,Male,61,Other                                                                          ,5,Stevens Square - Loring Heights
-93.27781232,44.96471066,20824029,20-007416,2020/01/09 11:29:26+00,Attempted Suicide ,No,CIC     ,Yes,1,PERSON IN CRISIS                                       ,1,Bodily Force,Neck Restraint: subject did not lose conciousness,White,Male,61,Other                                                                          ,5,Stevens Square - Loring Heights
-93.2778161,44.96938053,20825390,20-005824,2020/01/07 16:15:53+00,Person with a Gun ,Yes,ASLT2   ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,54,Commission of a Crime                                                          ,1,Loring Park
-93.27342211,44.97543284,20825495,20-005699,2020/01/07 13:35:56+00,Fight ,No,DISCON  ,Yes,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,47,Tensed                                                                         ,1,Downtown West
-93.27342211,44.97543284,20835267,20-005699,2020/01/07 13:35:56+00,Fight ,No,DISCON  ,Yes,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,47,Tensed                                                                         ,1,Downtown West
-93.24987011,44.9582344,20821356,20-005374,2020/01/07 05:04:28+00,Unwanted Person ,Yes,OBSTRU  ,No,3,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,33,Commission of a Crime                                                          ,3,East Phillips
-93.24987011,44.9582344,20821362,20-005374,2020/01/07 05:04:28+00,Unwanted Person ,Yes,OBSTRU  ,No,1,ARRESTEE                                               ,1,Bodily Force,Joint Lock,Black,Male,33,Other                                                                          ,3,East Phillips
-93.24987011,44.9582344,20830302,20-005374,2020/01/07 05:04:28+00,Unwanted Person ,Yes,OBSTRU  ,No,2,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,33,Other                                                                          ,3,East Phillips
-93.24987011,44.9582344,20830457,20-005374,2020/01/07 05:04:28+00,Unwanted Person ,Yes,OBSTRU  ,No,3,ARRESTEE                                               ,1,Taser,Firing Darts,Black,Male,33,Commission of a Crime                                                          ,3,East Phillips
-93.24987011,44.9582344,20833373,20-005374,2020/01/07 05:04:28+00,Unwanted Person ,Yes,OBSTRU  ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,33,Other                                                                          ,3,East Phillips
-93.24987011,44.9582344,20833911,20-005374,2020/01/07 05:04:28+00,Unwanted Person ,Yes,OBSTRU  ,No,2,ARRESTEE                                               ,1,Taser,Firing Darts,Black,Male,33,Other                                                                          ,3,East Phillips
-93.30287024,44.94314342,20830196,20-005225,2020/01/06 22:23:23+00,Paramedic Needs Help ,No,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,White,Male,34,Tensed                                                                         ,5,ECCO
-93.23893067,44.94565104,20821461,20-004475,2020/01/06 07:33:06+00,Check the Welfare ,No,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Takedown,Black,Female,27,Verbal Non-Compliance                                                          ,3,Corcoran
